Species_name_Data,species,Family
Abutilon pictum,Abutilon pictum,Malvaceae
Achillea millefolium,Achillea millefolium,Asteraceae
Achillea ptarmica,Achillea ptarmica,Asteraceae
Alcea nudiflora,Alcea nudiflora,Malvaceae
Alcea rosea,Alcea rosea,Malvaceae
Aloe barbadensis,Aloe barbadensis,Asphodelaceae
Aloe lateritia,Aloe lateritia,Asphodelaceae
Aloe perdita,Aloe perdita,Asphodelaceae
Alyogyne huegelii,Alyogyne huegelii,Malvaceae
Amaryllis belladonna,Amaryllis belladonna,Amaryllidaceae
Anthriscus sylvestris,Anthriscus sylvestris,Apiaceae
Arbutus unedo,Arbutus unedo,Ericaceae
Baptisia australis,Baptisia australis,Fabaceae
Brugmansia X candida,Brugmansia X candida,Solanaceae
Brunfelsia jamaicensis,Brunfelsia jamaicensis,Solanaceae
Bryonia dioica,Bryonia dioica,Cucurbitaceae
Buddleja davidii,Buddleja davidii,Scrophulariaceae
Calluna vulgaris,Calluna vulgaris,Ericaceae
Calystegia,Calystegia,Convolvulaceae
Camellia sinensis,Camellia sinensis,Theaceae
Campanula fragilis sub cavolinii,Campanula fragilis sub cavolinii,Campanulaceae
Campanula isophylla,Campanula isophylla,Campanulaceae
Canna indica,Canna indica,Cannaceae
Castanea sativa,Castanea sativa,Fagaceae
Catalpa bignonioides,Catalpa bignonioides,Bignoniaceae
Catharanthus trichophyllus,Catharanthus trichophyllus,Apocynaceae
Centaurea nigra,Centaurea nigra,Asteraceae
Cirsium vulgare,Cirsium vulgare,Asteraceae
Cistus sp.,Cistus,Cistaceae
Cistus x stenophyllus,Cistus x stenophyllus,Cistaceae
Cleistocactus samaipatanus,Cleistocactus samaipatanus,Cactaceae
Clivia caulescens,Clivia caulescens,Amaryllidaceae
Clivia miniata,Clivia miniata,Amaryllidaceae
Colchicum macrophyllum,Colchicum macrophyllum,Colchicaceae
Colchicum speciosum,Colchicum speciosum,Colchicaceae
Cyclamen africanum,Cyclamen africanum,Primulaceae
Cyclamen graecum,Cyclamen graecum,Primulaceae
Dicentra formosa,Dicentra formosa,Papaveraceae
Digitalis purpurea,Digitalis purpurea,Plantaginaceae
Dipsacus fullonum,Dipsacus fullonum,Caprifoliaceae
Drosera regia,Drosera regia,Droseraceae
Echinopsis spachiana,Echinopsis spachiana,Cactaceae
Epilobium hirsutum,Epilobium hirsutum,Onagraceae
Eschscholzia californica,Eschscholzia californica,Papaveraceae
Eucalyptus perriniana,Eucalyptus perriniana,Myrtaceae
Euphorbia ceratocarpa,Euphorbia ceratocarpa,Euphorbiaceae
Euphorbia milii splendens,Euphorbia milii,Euphorbiaceae
Fuchsia,Fuchsia,Onagraceae
Galanthus reginae-olgae,Galanthus reginae-olgae,Amaryllidaceae
Genista tinctoria,Genista tinctoria,Fabaceae
Geranium renardii,Geranium renardii,Geraniaceae
Gesneria ventricosa,Gesneria ventricosa,Gesneriaceae
Gladiolus carmineus,Gladiolus carmineus,Amaryllidaceae
Glaucium flavum,Glaucium flavum,Papaveraceae
Hedera helix,Hedera helix,Araliaceae
Helleborus foetidus,Helleborus foetidus,Ranunculaceae
Helminthotheca echioides,Helminthotheca echioides,Asteraceae
Hemerocallis fulva,Hemerocallis fulva,Asphodelaceae
