Species,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol,IsoObtusifoliol.1,X14MethylCholest8enol.1
Sambucus nigra,0.49528552,0,0,17.28406306,2.172646662,0,70.75045808,6.758540554,2.539006117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaryllis belladonna,1.093021038,0,13.26058554,12.32208314,1.5981276,1.623239053,25.71536855,37.59044967,2.334002547,0,0,0,0,2.041303313,0,0.029786892,0,0.827548562,0.051706005,0,0,0,1.512778089,0,0
Clivia caulescens,0.3140036,0,6.592692029,8.018310051,0,0,43.97210901,11.70089936,29.40198594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clivia miniata,0,0,0.477852373,6.249507863,0,0,55.45138835,37.82125141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galanthus reginae-olgae,1.067778466,0,0,5.319555696,1.76660687,5.858734655,5.493800637,0,2.724669604,42.70793532,0,0.105019995,0.61898934,0,0.28194375,26.17610153,0.071521481,0,6.100253627,0.009382511,0,0.105184951,0.780793039,0.811728528,0
Gladiolus carmineus,0.340977036,0,19.38421124,2.542690912,0.852831421,0.784469397,6.258211277,5.337869147,0.289130895,16.4421478,0.028771377,0.081392024,2.147124088,0.287202066,0.024976801,35.23865996,0,0.052750592,5.519120021,0,0.11559593,0.097360744,2.155195483,2.019311797,0
Hymenocallis littoralis,0.455865838,3.541483461,10.60704467,13.67783521,1.874021025,0,23.94851682,37.72114149,2.01195086,0,0,0.064654901,0.101506103,0.355713893,4.206360264,0.069530221,0.246281303,0.099508748,0.039481126,0,0,0.715490054,0.263614017,0,0
narcissus cavanillesii,2.295378397,0,3.295111047,14.72282209,7.206975798,0,24.87144919,45.03531572,0.825941245,0,0,0,0.039808459,0.953477908,0,0.047112557,0,0,0,0,0,0,0.706607591,0,0
Narcissus pseudonarcissus,0.59774559,0,0.863025088,7.034731162,2.7001681,0,47.99868997,39.98361238,0.779827934,0.042199771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerine bowdenii,0.119457515,0,59.0078183,0.911781846,0.152420083,1.784812636,2.10898263,15.31007324,8.91080099,0,0.018808106,0,7.868434765,0.164065624,0.056495167,0.021636742,0.29767234,2.312070998,0.015263062,0,0.003581402,0.691745945,0.129110151,0.007821772,0.107146695
Nerine humilis,0.217717926,0,25.29366104,2.411968716,0.460176506,0,5.612405423,44.81985174,1.937504491,0.158162008,0.011368941,0.003068297,10.71058365,3.015630981,0.010646253,0.062273606,0.025417817,2.929746358,0.045098261,0,0.001371772,0.013030572,2.241844325,0.007284859,0.01118646
Sternbergia sicula,0.395334883,0,3.370553445,8.391942972,0.71093526,1.354446757,17.11908465,45.43232783,19.83210202,0.662291435,0.300787118,0.111843311,0.021963305,0.557545156,0.00395809,0.212785479,0.500851834,0.015653583,0.398353143,0,0,0.170821364,0.424577561,0.011840805,0
Anthriscus sylvestris,0,0,0,7.387756196,9.200689473,0,83.41155433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catharanthus trichophyllus,0.113180132,0,0.301722111,3.561493682,0,0,52.40491238,11.17699764,1.985509927,0,9.203809416,21.25237471,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedera helix,0.053414237,0.046941916,3.200872893,0.102566381,1.169911217,0.003144069,3.475880843,0.76068784,3.485698635,3.015800047,7.475101935,0.857788374,0.341712937,2.699468735,1.063915772,28.53149896,0.420832405,0.107870356,39.43108472,0,0.003009118,0.148997136,2.783853707,0.814355097,0.005592673
Hyacinthoides non-scripta,0.656445299,0,0,0.618094709,0.555403784,0,1.170032532,0.09080733,1.531775899,0,0,0,0,0,91.72638238,0,0,0,0,0,3.651058066,0,0,0,0
Lachenalia ensifolia,0.756040657,10.18877291,0.875952071,2.953551308,1.020366243,0,0.233535432,0,1.37157375,0,0,0,0.030492107,0,78.78944486,0,0.009563162,0.010986973,0.059973665,0,3.525809839,0.021505289,0.061581892,0.064021811,0.02682803
Scilla madeirensis,0.509603825,0,0,0,0.779726281,0,0.564435421,0,3.792155725,0,0,0,0.095063817,0.115064333,92.64521605,0.064097479,0.024138107,0.020594096,0.010321061,0,1.033224771,0.100232929,0.146121615,0.063260103,0.03674439
Aloe barbadensis,0,0,3.363818114,7.35643712,0,71.34842066,7.258772319,10.67255179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloe lateritia,0.114457187,0,6.353481747,6.523765453,0,67.87909167,6.017085331,7.412233528,5.699885088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloe perdita,0,0,7.855315677,6.023852867,0,65.37250485,5.160894309,9.347254101,6.240178196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemerocallis fulva,0.094106224,0,88.24152132,0.730471591,0.014885619,2.797239443,0.64525889,2.08505091,5.391466003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea millefolium,21.17452733,0,0,0,0,0,8.338031162,0,0,0,0,0,0,0,0,0,0,0,70.48744151,0,0,0,0,0,0
Achillea ptarmica,4.458334862,0,0.235257851,0.560304995,0.39061476,0,20.97597077,0,2.239015892,0.518872799,0,0,0,0,0,0,0,0,70.62162807,0,0,0,0,0,0
Centaurea nigra,1.602632236,0,0,0.198251187,0.175838032,0,4.949952925,0.268061384,0.508040751,0,4.819744138,0,0,0,0,0,0,0,87.47747935,0,0,0,0,0,0
Cirsium vulgare,0.174101555,0,0,0.793480043,0.53082326,0,2.756120517,0,0.720402418,1.799280184,0,0,0,0,0,0,0,0,93.22579202,0,0,0,0,0,0
Helminthotheca echioides ,12.56691047,0,48.44091331,0.112918467,0,0.566510807,3.565378765,10.81247901,23.93488916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium umbellatum agg.,1.931196293,1.58581487,0,0.865009398,0,0,5.268674842,4.725829525,10.29794286,1.160423775,0,0,0,0,49.57823001,0,0,0,0,24.58687842,0,0,0,0,0
Jacobaea vulgaris,1.192333042,0.194148949,0,5.342975161,0,0,7.7222353,1.161188275,0.451481579,2.928077054,0,0,0,0,0,0,0,0,81.00756064,0,0,0,0,0,0
Tanacetum vulgare,0.795192276,0,0,0,0,0,6.624689248,0.914508671,1.919348816,0,15.75490913,0,0,0,0,0,0,0,73.99135185,0,0,0,0,0,0
Taraxacum officinale,0.262302485,0,0.190878529,1.037337478,1.470042294,0.575085944,3.349709537,5.624813784,18.97062712,2.981321918,0,0,0,0,65.53788091,0,0,0,0,0,0,0,0,0,0
Catalpa bignonioides,2.151311287,0,6.067528902,2.171525976,0,0,14.66470953,71.75691413,3.188010173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phacelia tanacetifolia,0.937601285,0,6.636182082,1.283236358,0.756226875,0,4.385689891,43.70154883,9.302894134,0,0,0,0,0,0,0,0,0,0,0,0,32.99662054,0,0,0
Pulmonaria officinalis,2.8544949,0,69.75818868,11.70614943,2.872482357,0,11.86966708,0.939017549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphytum officinale,0.65075457,76.74897231,17.42348805,1.567425711,0.520513534,0,2.074185481,0.955231413,0.059428934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphytum uplandicum,0.263980262,84.70370855,11.20515588,0.55213473,0,0,0.592954139,0.672671145,0,0,0,0,0.879110439,0,0,0,0,1.13028485,0,0,0,0,0,0,0
Cleistocactus samaipatanus,0.039188996,0.06431717,83.23899087,0.476739254,0,2.794107564,1.122009048,1.744816697,1.924975294,0,0,0,4.824617266,0,0,0,0,2.910897407,0,0,0,0.859340437,0,0,0
Echinopsis spachiana,0.06964983,0,93.90655194,0.211399397,0.278726886,1.394948106,0.236729341,0.559556978,0.126864185,0,0,0,0.865133169,0,0,0,0,2.35044017,0,0,0,0,0,0,0
Matucana paucicostata,0.029327988,0,88.32982301,0.332753109,0,3.428412004,1.586423832,1.970298309,0.894549745,0,0,0,0,0,0,0,0,3.428412004,0,0,0,0,0,0,0
Parodia schumanniana,0.148376405,0,88.84203672,0.795263783,0,1.66891866,1.179084349,0.719771219,2.918101155,0,0,0,2.637194721,0,0,0,0,0,0,0,0,1.091252988,0,0,0
Schlumbergera truncata,0,0,68.41927541,0,0,1.278381327,0.695117887,4.340363315,11.90732802,0.058340883,0.005965751,0.014297591,5.26240735,0.041051981,0.0285974,0.024384364,0.643713124,5.265271898,0.019452814,0,0.003284342,1.889814701,0.038885023,0.008797309,0.055269502
Campanula fragilis sub cavolinii,0.247479124,1.107441578,5.310470031,2.463899978,0.663481753,2.623302886,7.486679121,0,36.99162447,5.87547784,0.452384857,0.370209475,0.267312306,1.266097863,3.29278662,0.034781328,1.244250402,0.123216792,0.643300556,0,0,28.34904347,1.012961459,0.077634783,0.096163315
Campanula isophylla,0.221156209,0,5.091950738,1.830923645,0.472691957,2.089976167,5.396655566,0,31.5872343,13.1582583,0.320800897,0.672312648,0.043528917,0.728767938,2.614615411,0,0.34785802,0.004504195,0.968865122,0,0,33.76567606,0.592530747,0.054530377,0.037162784
