,Species.False,Family,Batch,Pollinator,Pollen_collect_by_bee,H_sterol,Cholesterol,Desmosterol,X24Methylenecholesterol,Campesterol,Stigmasterol,Episterol,Sitosterol,Isofucosterol,Cycloartenol,Citrostradienol,Sitostanol,Campestanol,Cycloeucalenol,X31Norcycloartenol,X31Norcycloartanol,X2428MethyleneLophenol,X2428MethyleneCycloartanol,Pollinastanol,Schottenol,Lathosterol,X2425Dehydropollinastanol,Obtusifoliol,Epifungisterol,IsoObtusifoliol,X14MethylCholest8enol,Sum,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol.1,IsoObtusifoliol.1,X14MethylCholest8enol.1,Sum.1,Cholesterol.2,Desmosterol.2,X24Methylenecholesterol.2,Campesterol.2,Stigmasterol.2,Episterol.2,Sitosterol.2,Isofucosterol.2,Cycloartenol.2,Citrostradienol.2,Sitostanol.2,Campestanol.2,Cycloeucalenol.2,X31Norcycloartenol.2,X31Norcycloartanol.2,X2428MethyleneLophenol.2,X2428MethyleneCycloartanol.2,Pollinastanol.2,Schottenol.2,Lathosterol.2,X2425Dehydropollinastanol.2,Obtusifoliol.2,Epifungisterol.2,IsoObtusifoliol.2,X14MethylCholest8enol.2,Sum.2,Sum_C0,Sum_C1,Sum_C2,Sum_CSums,Sum_D0,Sum_D5,Sum_D7,Sum_D8,Sum_DeltaSums,DGrp
Achillea_millefolium,Achillea millefolium,Asteraceae,1st,Generalist_insect,Yes,0.243635453,0.263,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0.669,0,0,0,0,0,0,1,0.117,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0.553,0.004,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0.019,0.263,0,0.737,1,0,0.331,0.669,0,1,Sum_D8
Achillea_ptarmica,Achillea ptarmica,Asteraceae,1st,Generalist_insect,Yes,0.279874248,0.068,0,0.002,0.005,0.004,0,0.197,0,0.021,0.005,0,0,0,0,0,0,0,0,0.698,0,0,0,0,0,0,1,0.035,0,0.002,0.004,0.003,0,0.165,0,0.018,0.004,0,0,0,0,0,0,0,0,0.554,0,0,0,0,0,0,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,0.007,0.904,1,0.021,0.276,0.703,0,1,Sum_D8
Alcea_nudiflora,Alcea nudiflora,Malvaceae,2nd,Bee,Unkown,0.411224378,0.015,0.071,0,0.167,0.293,0,0.437,0,0.01,0,0,0,0,0.001,0,0.001,0.003,0,0,0,0,0,0.001,0,0,1,0.038,0.182,0,0.427,0.746,0,1.114,0,0.025,0,0,0,0,0.002,0,0.003,0.009,0,0,0,0,0,0.002,0,0,2.548,0.034,0.164,0,0.384,0.672,0,1.003,0,0.023,0,0,0,0,0.002,0,0.003,0.008,0,0,0,0,0,0.001,0,0,2.293,0.097,0.172,0.73,0.999,0.014,0.983,0.002,0,0.999,Sum_D5
Alcea_rosea,Alcea rosea,Malvaceae,1st,Bee,No,0.512429413,0.01,0.385,0.028,0.018,0.005,0.001,0.191,0.087,0.112,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022,0.846,0.06,0.04,0.011,0.001,0.423,0.191,0.245,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0,0,2.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,0.21,0.283,1,0.275,0.724,0.001,0,1,Sum_D5
Aloe_lateritia,Aloe lateritia,Asphodelaceae,1st,Bird,No,0.348358999,0.001,0,0.064,0.065,0,0.679,0.06,0.074,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011,0,0.597,0.613,0,6.379,0.565,0.697,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.398,0.012,0,0.677,0.695,0,7.23,0.641,0.789,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.651,0.058,0.808,0.134,1,0.057,0.264,0.679,0,1,Sum_D7
Aloe_perdita,Aloe perdita,Asphodelaceae,1st,Bird,No,0.362298654,0,0,0.079,0.06,0,0.654,0.052,0.093,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.421,0.323,0,3.501,0.276,0.501,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.355,0,0,0.231,0.177,0,1.925,0.152,0.275,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.945,0.062,0.793,0.145,1,0.062,0.284,0.654,0,1,Sum_D7
Aloe_vera,Aloe barbadensis,Asphodelaceae,1st,Bird,No,0.297050346,0,0,0.034,0.074,0,0.713,0.073,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.904,1.976,0,19.169,1.95,2.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.866,0,0,0.687,1.502,0,14.568,1.482,2.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.418,0,0.821,0.18,1.001,0,0.288,0.713,0,1.001,Sum_D7
Alyogyne_huegelii,Alyogyne huegelii,Malvaceae,2nd,Generalist_insect,Unkown,0.327903769,0.002,0,0.682,0.025,0.008,0.002,0.108,0.143,0.001,0,0,0,0,0.012,0,0,0,0.002,0,0,0.006,0,0.009,0,0,1,0.023,0,8.436,0.305,0.1,0.029,1.319,1.775,0.014,0,0.001,0.001,0,0.138,0.001,0.006,0,0.021,0,0,0.071,0,0.103,0.001,0,12.345,0.118,0,50.656,1.721,0.551,0.06,7.237,11.099,0.03,0,0.002,0.002,0,0.553,0.003,0.034,0,0.119,0,0,0.373,0,0.413,0.003,0,72.975,0.023,0.718,0.259,1,0.021,0.968,0.011,0,1,Sum_D5
Amaryllis_belladonna,Amaryllis belladonna,Amaryllidaceae,2nd,Lepidoptera,No,0.515349341,0.011,0,0.133,0.123,0.016,0.016,0.257,0.376,0.023,0,0,0,0,0.02,0,0,0,0.008,0.001,0,0,0,0.015,0,0,1,0.03,0,0.368,0.342,0.044,0.045,0.714,1.044,0.065,0,0,0,0,0.057,0,0.001,0,0.023,0.001,0,0,0,0.042,0,0,2.778,0.043,0,0.516,0.479,0.062,0.063,1,1.462,0.091,0,0,0,0,0.079,0,0.001,0,0.032,0.002,0,0,0,0.059,0,0,3.89,0.062,0.287,0.65,0.999,0.051,0.916,0.032,0,0.999,Sum_D5
Anthriscus_sylvestris,Anthriscus sylvestris,Apiaceae,1st,Generalist_insect,Yes,0.170994888,0,0,0,0.074,0.092,0,0.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136,0.17,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.074,0.926,1,0,1,0,0,1,Sum_D5
Arbutus_unedo,Arbutus unedo,Ericaceae,2nd,Bee,Yes,0.485321093,0.009,0.001,0,0.027,0.002,0,0.527,0.078,0.028,0.065,0,0,0.001,0.034,0.001,0.002,0.001,0.002,0.183,0,0,0.004,0.026,0.001,0.005,1,0.032,0.004,0,0.098,0.009,0,1.89,0.282,0.099,0.234,0.001,0.001,0.003,0.122,0.004,0.008,0.005,0.006,0.655,0.001,0.002,0.015,0.094,0.003,0.018,3.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.062,0.855,0.997,0.067,0.644,0.277,0.009,0.997,Sum_D5
Baptisia_australis,Baptisia australis,Fabaceae,1st,Bee,Yes,0.190655013,0,0,0.678,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.532,0,0,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.678,0.322,1,0,1,0,0,1,Sum_D5
